Tokenized_Query,Tokenized_Answer
"['program', 'requirements', 'Operations', 'Supply', 'Chain', 'Management', 'minor', '?']","['program', 'requirements', 'Operations', 'Supply', 'Chain', 'Management', 'minor', 'include', 'total', '19', 'credits', ',', 'least', 'six', 'credits', 'unique', 'prescribed', 'courses', 'required', 'student', ""'s"", 'major', '.']"
"['prescribed', 'courses', 'Operations', 'Supply', 'Chain', 'Management', 'minor', '?']","['prescribed', 'courses', 'Operations', 'Supply', 'Chain', 'Management', 'minor', 'include', 'MGMT', '301', 'Basic', 'Management', 'Concepts', 'SCM', '301', 'Supply', 'Chain', 'Management', '.']"
"['purpose', 'academic', 'advising', 'university', '?']","['purpose', 'academic', 'advising', 'university', 'help', 'advisees', 'identify', 'achieve', 'academic', 'goals', ',', 'promote', 'intellectual', 'discovery', ',', 'encourage', 'students', 'take', 'advantage', 'educational', 'opportunities', '.']"
"['minor', 'Operations', 'Supply', 'Chain', 'Management', 'make', 'student', 'competitive', 'job', 'candidate', '?']","['minor', 'Operations', 'Supply', 'Chain', 'Management', 'make', 'student', 'competitive', 'job', 'candidate', 'demonstrating', 'foundational', 'skills', 'business', 'operations', 'supply', 'chain', 'techniques', '.']"
"['potential', 'career', 'options', 'graduates', 'minor', 'Operations', 'Supply', 'Chain', 'Management', '?']","['potential', 'career', 'options', 'graduates', 'minor', 'Operations', 'Supply', 'Chain', 'Management', 'include', 'opportunities', 'graduate', 'studies', 'adding', 'interdisciplinary', 'thinking', 'primary', 'major', 'program', '.']"
"['students', 'find', 'information', 'graduate', 'studies', 'opportunities', 'related', 'Operations', 'Supply', 'Chain', 'Management', '?']","['Students', 'find', 'information', 'graduate', 'studies', 'opportunities', 'related', 'Operations', 'Supply', 'Chain', 'Management', 'Behrend', 'School', 'Business', 'website', '.']"
"['students', 'contact', 'information', 'Operations', 'Supply', 'Chain', 'Management', 'minor', '?']","['Students', 'contact', 'Erie', 'Black', 'School', 'Business', '814-898-6107', 'email', 'behrendbusiness', '@', 'psu.edu', 'information', 'Operations', 'Supply', 'Chain', 'Management', 'minor', '.']"
"['career', 'paths', 'students', 'pursuing', 'minor', 'Operations', 'Supply', 'Chain', 'Management', '?']","['Students', 'pursuing', 'minor', 'Operations', 'Supply', 'Chain', 'Management', 'explore', 'career', 'paths', 'School', 'Engineering', 'degree', 'programs', '.']"
"['examples', 'courses', 'included', 'Physics', 'program', 'Penn', 'State', 'Behrend', '?']","['Examples', 'courses', 'Physics', 'program', 'Penn', 'State', 'Behrend', 'include', 'PHYS', '211', 'General', 'Physics', ':', 'Mechanics', ',', 'PHYS', '212', 'General', 'Physics', ':', 'Electricity', 'Magnetism', ',', 'PHYS', '213', 'General', 'Physics', ':', 'Fluids', 'Thermal', 'Physics', '.']"
"['entrance', 'requirements', 'Physics', 'major', 'Penn', 'State', 'Behrend', '?']","['eligible', 'entrance', 'Physics', 'major', 'Penn', 'State', 'Behrend', ',', 'student', 'must', 'attained', 'least', '2.00', 'cumulative', 'grade-point', 'average', 'completed', 'specific', 'courses', 'grade', 'C', 'better', '.']"
"['degree', 'requirements', 'Bachelor', 'Science', 'degree', 'Physics', 'Penn', 'State', 'Behrend', '?']","['Bachelor', 'Science', 'degree', 'Physics', 'Penn', 'State', 'Behrend', 'requires', 'minimum', '122', 'credits', ',', 'including', 'General', 'Education', 'courses', ',', 'Prescribed', 'Courses', ',', 'Electives', ',', 'Major', 'Requirements', '.']"
"['Computational', 'Physics', 'Option', 'Physics', 'program', 'Penn', 'State', 'Behrend', '?']","['Computational', 'Physics', 'Option', 'Physics', 'program', 'Penn', 'State', 'Behrend', 'includes', 'courses', 'CMPSC', '122', 'Intermediate', 'Programming', ',', 'MATH', '455', 'Introduction', 'Numerical', 'Analysis', ',', 'PHYS', '402', 'Electronics', 'Scientists', '.']"
"['examples', 'additional', 'courses', 'required', 'Computational', 'Physics', 'Option', 'Physics', 'program', 'Penn', 'State', 'Behrend', '?']","['Additional', 'courses', 'required', 'Computational', 'Physics', 'Option', 'Penn', 'State', 'Behrend', 'include', 'CMPSC', '459', 'Data', 'Structures', 'Algorithms', ',', 'CMPSC', '465', 'Operating', 'System', '&', 'Systems', 'Programming', ',', 'select', 'courses', 'Signals', 'Systems', 'Digital', 'Signal', 'Processing', '.']"
"['facilities', 'available', 'students', 'studying', 'Physics', 'Penn', 'State', 'Behrend', '?']","['Students', 'studying', 'Physics', 'Penn', 'State', 'Behrend', 'utilize', 'Mehalso', 'Observatory', 'Yahn', 'Planetarium', 'studying', 'night', 'sky', 'conducting', 'astronomical', 'observations', '.']"
"['examples', 'advanced', 'topics', 'covered', 'Physics', 'program', 'Penn', 'State', 'Behrend', '?']","['Advanced', 'topics', 'covered', 'Physics', 'program', 'Penn', 'State', 'Behrend', 'include', 'theoretical', 'mechanics', ',', 'electrodynamics', ',', 'solid', 'state', 'physics', ',', 'modern', 'physics', '.']"
"['foundational', 'areas', 'study', 'Physics', 'program', 'Penn', 'State', 'Behrend', '?']","['Foundational', 'areas', 'study', 'Physics', 'program', 'Penn', 'State', 'Behrend', 'include', 'calculus', ',', 'mechanics', ',', 'electricity', ',', 'magnetism', ',', 'wave', 'motion', ',', 'quantum', 'physics', '.']"
"['support', 'systems', 'available', 'students', 'pursuing', 'degree', 'Physics', 'Penn', 'State', 'Behrend', '?']","['Penn', 'State', 'Behrend', 'offers', 'comprehensive', 'support', 'system', 'help', 'students', 'identify', 'achieve', 'academic', 'goals', 'Physics', 'beyond', '.']"
"['examples', 'courses', 'satisfy', 'Cultures', 'requirement', '?']","['examples', 'courses', 'satisfy', 'Cultures', 'requirement', 'include', 'COMM', '451', ',', 'COMM', '452', ',', 'COMM', '453', ',', 'COMM', '454', ',', 'COMM', '455', ',', 'COMM', '495', ',', 'COMM', '496', '.']"
"['specific', 'requirements', 'General', 'Education', 'included', 'Major', '?']","['General', 'Education', 'included', 'Major', 'requires', '9', 'credits', 'GN', 'courses', ',', '6', 'credits', 'GQ', 'courses', ',', '3', 'credits', 'GWS', 'courses', '.']"
"['Prescribed', 'Courses', 'require', 'grade', 'C', 'better', '?']","['Prescribed', 'Courses', 'require', 'grade', 'C', 'better', 'include', 'PHYS', '494', 'Physics', 'Research', 'Project', ',', 'PHYS', '495', 'Internship', ',', 'CHEM', '110', 'Chemical', 'Principles', ',', 'MATH', '140', 'Calculus', 'Analytic', 'Geometry', '.']"
